model_id,L,k,rank_HZ,rank_HX,z_checks_csv,x_checks_csv,z_rows,x_rows,topology_ok,commutation_ok,status
L10_model_01,10,4,998,998,L10/L10_model_01/z_checks.csv,L10/L10_model_01/x_checks.csv,1000,1000,1,1,ok
L18_model_01,18,4,5830,5830,L18/L18_model_01/z_checks.csv,L18/L18_model_01/x_checks.csv,5832,5832,1,1,ok
L25_model_01,25,2,15624,15624,L25/L25_model_01/z_checks.csv,L25/L25_model_01/x_checks.csv,15625,15625,1,1,ok
L14_model_46,14,4,2742,2742,L14/L14_model_46/z_checks.csv,L14/L14_model_46/x_checks.csv,2744,2744,1,1,ok
L12_model_11,12,4,1726,1726,L12/L12_model_11/z_checks.csv,L12/L12_model_11/x_checks.csv,1728,1728,1,1,ok
L10_model_18,10,4,998,998,L10/L10_model_18/z_checks.csv,L10/L10_model_18/x_checks.csv,1000,1000,1,1,ok
L13_model_14,13,2,2196,2196,L13/L13_model_14/z_checks.csv,L13/L13_model_14/x_checks.csv,2197,2197,1,1,ok
L10_model_08,10,4,998,998,L10/L10_model_08/z_checks.csv,L10/L10_model_08/x_checks.csv,1000,1000,1,1,ok
L13_model_10,13,2,2196,2196,L13/L13_model_10/z_checks.csv,L13/L13_model_10/x_checks.csv,2197,2197,1,1,ok
L15_model_06,15,2,3374,3374,L15/L15_model_06/z_checks.csv,L15/L15_model_06/x_checks.csv,3375,3375,1,1,ok
L25_model_05,25,2,15624,15624,L25/L25_model_05/z_checks.csv,L25/L25_model_05/x_checks.csv,15625,15625,1,1,ok
L13_model_13,13,2,2196,2196,L13/L13_model_13/z_checks.csv,L13/L13_model_13/x_checks.csv,2197,2197,1,1,ok
L12_model_06,12,4,1726,1726,L12/L12_model_06/z_checks.csv,L12/L12_model_06/x_checks.csv,1728,1728,1,1,ok
L18_model_14,18,4,5830,5830,L18/L18_model_14/z_checks.csv,L18/L18_model_14/x_checks.csv,5832,5832,1,1,ok
L11_model_22,11,2,1330,1330,L11/L11_model_22/z_checks.csv,L11/L11_model_22/x_checks.csv,1331,1331,1,1,ok
