model_id,L,k,rank_HZ,rank_HX,z_checks_csv,x_checks_csv,z_rows,x_rows
L10_model_01,10,4,998,998,L10/L10_model_01/z_checks.csv,L10/L10_model_01/x_checks.csv,1000,1000
L10_model_02,10,4,998,998,L10/L10_model_02/z_checks.csv,L10/L10_model_02/x_checks.csv,1000,1000
L10_model_03,10,4,998,998,L10/L10_model_03/z_checks.csv,L10/L10_model_03/x_checks.csv,1000,1000
L10_model_04,10,4,998,998,L10/L10_model_04/z_checks.csv,L10/L10_model_04/x_checks.csv,1000,1000
L10_model_05,10,4,998,998,L10/L10_model_05/z_checks.csv,L10/L10_model_05/x_checks.csv,1000,1000
L10_model_06,10,4,998,998,L10/L10_model_06/z_checks.csv,L10/L10_model_06/x_checks.csv,1000,1000
L10_model_07,10,4,998,998,L10/L10_model_07/z_checks.csv,L10/L10_model_07/x_checks.csv,1000,1000
L10_model_08,10,4,998,998,L10/L10_model_08/z_checks.csv,L10/L10_model_08/x_checks.csv,1000,1000
L10_model_09,10,4,998,998,L10/L10_model_09/z_checks.csv,L10/L10_model_09/x_checks.csv,1000,1000
L10_model_10,10,4,998,998,L10/L10_model_10/z_checks.csv,L10/L10_model_10/x_checks.csv,1000,1000
L10_model_11,10,4,998,998,L10/L10_model_11/z_checks.csv,L10/L10_model_11/x_checks.csv,1000,1000
L10_model_12,10,4,998,998,L10/L10_model_12/z_checks.csv,L10/L10_model_12/x_checks.csv,1000,1000
L10_model_13,10,4,998,998,L10/L10_model_13/z_checks.csv,L10/L10_model_13/x_checks.csv,1000,1000
L10_model_14,10,4,998,998,L10/L10_model_14/z_checks.csv,L10/L10_model_14/x_checks.csv,1000,1000
L10_model_15,10,4,998,998,L10/L10_model_15/z_checks.csv,L10/L10_model_15/x_checks.csv,1000,1000
L10_model_16,10,4,998,998,L10/L10_model_16/z_checks.csv,L10/L10_model_16/x_checks.csv,1000,1000
L10_model_17,10,4,998,998,L10/L10_model_17/z_checks.csv,L10/L10_model_17/x_checks.csv,1000,1000
L10_model_18,10,4,998,998,L10/L10_model_18/z_checks.csv,L10/L10_model_18/x_checks.csv,1000,1000
L10_model_19,10,4,998,998,L10/L10_model_19/z_checks.csv,L10/L10_model_19/x_checks.csv,1000,1000
L10_model_20,10,4,998,998,L10/L10_model_20/z_checks.csv,L10/L10_model_20/x_checks.csv,1000,1000
L10_model_21,10,4,998,998,L10/L10_model_21/z_checks.csv,L10/L10_model_21/x_checks.csv,1000,1000
L10_model_22,10,4,998,998,L10/L10_model_22/z_checks.csv,L10/L10_model_22/x_checks.csv,1000,1000
L10_model_23,10,4,998,998,L10/L10_model_23/z_checks.csv,L10/L10_model_23/x_checks.csv,1000,1000
L10_model_24,10,4,998,998,L10/L10_model_24/z_checks.csv,L10/L10_model_24/x_checks.csv,1000,1000
L10_model_25,10,4,998,998,L10/L10_model_25/z_checks.csv,L10/L10_model_25/x_checks.csv,1000,1000
L10_model_26,10,4,998,998,L10/L10_model_26/z_checks.csv,L10/L10_model_26/x_checks.csv,1000,1000
L10_model_27,10,4,998,998,L10/L10_model_27/z_checks.csv,L10/L10_model_27/x_checks.csv,1000,1000
